end_hour,oude_engelenseweg_in_flow_vol,oude_engelenseweg_flow_value,oude_engelenseweg_level_value,oude_engelenseweg_last_in_flow_vol,oude_engelenseweg_vol_remain
2019-09-01 19:00:00,426.79495714381744,613.7201666666667,224.533,,800.3537183454391
2019-09-01 20:00:00,673.4601569563368,681.0091666666665,221.067,426.79495714381744,787.9990711987601
2019-09-01 21:00:00,409.2075858161445,492.5358333333334,246.933,673.4601569563368,880.1991009437113
2019-09-03 04:00:00,198.6652925773258,175.76966666666667,231.067,409.2075858161445,823.6443312872744
2019-09-03 05:00:00,65.58727856286642,202.58433333333332,246.667,198.6652925773258,879.2509370253568
2019-09-03 06:00:00,321.75906924099235,458.9571666666667,223.2,65.58727856286642,795.6022051756402
2019-09-03 07:00:00,82.69700340535336,220.00966666666665,246.4,321.75906924099235,878.2992085809935
2019-09-03 08:00:00,421.5657974888325,504.3388333333334,235.733,82.69700340535336,840.2764096445752
2019-09-03 09:00:00,388.7757227334081,611.9169999999999,232.267,421.5657974888325,827.9217624978961
2019-09-03 10:00:00,809.8603092110459,778.7743333333335,227.467,388.7757227334081,810.8120376554093
2019-09-03 11:00:00,406.3559650090634,858.7381666666666,182.533,809.8603092110459,650.6436259736788
2019-09-03 12:00:00,755.2054319173267,573.8293333333334,241.6,406.3559650090634,861.1894837385066
2019-09-03 13:00:00,648.7472981369699,862.4281666666668,207.333,755.2054319173267,739.0438709931944
2019-09-03 14:00:00,568.9019155386977,531.8698333333333,245.467,648.7472981369699,874.9735058147352
2019-09-03 15:00:00,499.9853696835641,849.2464999999999,196.133,568.9019155386977,699.1211796940585
2019-09-03 16:00:00,571.753536345779,530.6763333333333,233.067,499.9853696835641,830.7733833049773
2019-09-03 17:00:00,388.298076248222,659.2868333333333,223.467,571.753536345779,796.5539336200036
2019-09-03 18:00:00,564.1504023688988,725.2233333333334,211.867,388.298076248222,755.2054319173269
2019-09-03 19:00:00,424.4174182959137,547.4648333333333,236.0,564.1504023688988,841.2281380889385
2019-09-03 20:00:00,442.47887158276393,774.0796666666665,200.133,424.4174182959137,713.3792837294642
2019-09-03 21:00:00,669.182725745715,604.6229999999999,237.867,442.47887158276393,847.8831081474641
2019-09-03 22:00:00,727.6373877648698,889.535,188.8,669.182725745715,672.9825104711509
2019-09-03 23:00:00,538.9598970643457,542.1075,241.467,727.6373877648698,860.7154017793293
2019-09-04 00:00:00,395.4271282659249,859.1921666666668,148.533,538.9598970643457,529.44974167273
2019-09-04 01:00:00,691.0439637580009,532.1616666666666,220.667,395.4271282659249,786.5732607952195
2019-09-04 02:00:00,320.333258837452,515.5843333333333,215.6,691.0439637580009,768.5118075083693
2019-09-04 03:00:00,122.14561274531209,264.755,249.867,320.333258837452,890.6574202536814
2019-09-04 04:00:00,297.04621042162535,480.59983333333327,231.867,122.14561274531209,826.4959520943555
2019-09-04 05:00:00,229.5554749700324,510.81016666666665,204.933,297.04621042162535,730.489008571951
2019-09-04 06:00:00,88.87789150470178,225.71233333333333,229.467,229.5554749700324,817.9410896731122
2019-09-04 07:00:00,71.2905201770287,488.84916666666675,162.533,88.87789150470178,579.3531057966502
2019-09-04 08:00:00,296.09448197726203,236.4275,239.6,71.2905201770287,854.0604317208036
2019-09-04 09:00:00,442.95295354194104,707.6386666666665,215.067,296.09448197726203,766.6119151456516
2019-09-04 10:00:00,757.1088888060535,693.7141666666668,243.467,442.95295354194104,867.8444537970323
2019-09-04 11:00:00,778.9701268183393,906.8291666666669,223.467,757.1088888060535,796.5539336200036
2019-09-04 12:00:00,515.1916376373242,829.0883333333335,204.667,778.9701268183393,729.5408446535965
2019-09-09 03:00:00,357.87841128868394,458.95733333333334,206.267,515.1916376373242,735.2440862677588
2019-09-09 04:00:00,104.08415945846197,187.4661666666667,235.467,357.87841128868394,839.3282457262208
2019-09-09 05:00:00,306.07515480204603,446.2793333333333,207.067,104.08415945846197,738.09570707484
2019-09-09 06:00:00,75.5679513876504,173.38216666666665,228.267,306.07515480204603,813.6636584624904
2019-09-09 07:00:00,75.56795138765048,313.87566666666663,217.067,75.5679513876504,773.7409671633544
2019-09-09 08:00:00,345.99428157517326,272.96783333333343,237.733,75.56795138765048,847.4054616622781
2019-09-09 09:00:00,483.82737328544044,649.3405000000001,224.4,345.99428157517326,799.879636386262
2019-09-09 10:00:00,763.282647853384,680.5316666666669,228.8,483.82737328544044,815.5635508252083
2019-09-09 11:00:00,413.01093506758906,830.6274999999999,168.533,763.282647853384,600.7402618497588
2019-09-09 12:00:00,843.6056769368422,534.5753333333333,242.267,413.01093506758906,863.5670225864105
2019-09-09 13:00:00,549.414651848307,854.1533333333331,210.267,843.6056769368422,749.5021903031645
2019-09-09 14:00:00,473.84670046065645,500.89066666666673,247.067,549.414651848307,880.6767474288974
2019-09-09 15:00:00,664.9052945350934,828.1863333333334,220.667,473.84670046065645,786.5732607952195
2019-09-09 16:00:00,440.57541469403714,715.9934999999998,155.733,664.9052945350934,555.1143289364604
2019-09-09 17:00:00,636.8631684234591,464.1561666666666,226.0,440.57541469403714,805.5828780004242
2019-09-09 18:00:00,434.8757376058837,442.3805000000001,248.667,636.8631684234591,886.3799890430597
2019-09-09 19:00:00,577.9272953931096,714.2698333333333,212.133,434.8757376058837,756.1535958356814
2019-09-09 20:00:00,487.1530760516988,425.4586666666666,249.2,577.9272953931096,888.2798814057775
2019-09-09 21:00:00,695.7954769277998,758.6959999999998,226.267,487.1530760516988,806.5346064447875
2019-09-09 22:00:00,534.2048193685379,728.8308333333333,152.667,695.7954769277998,544.1854921933219
