end_hour,haarsteeg_in_flow_vol,haarsteeg_flow_value,haarsteeg_level_value,haarsteeg_last_in_flow_vol,haarsteeg_vol_remain
2019-09-01 19:00:00,359.4901304765713,311.2706666666664,-2.255,,162.10003032080013
2019-09-01 20:00:00,216.1333737610668,233.19749999999976,-1.9,359.4901304765713,193.29000905461263
2019-09-01 21:00:00,556.1480715071357,476.50716666666636,-1.97,216.1333737610668,187.13987240287497
2019-09-03 04:00:00,498.60036426587584,343.5053333333331,-2.42,556.1480715071357,147.60327964170418
2019-09-03 05:00:00,64.79608258080764,5.789999999999993,-1.6824999999999999,498.60036426587584,212.3993622225118
2019-09-03 06:00:00,163.67940214803198,155.00349999999963,-2.0828571428571427,64.79608258080764,177.22434596435912
2019-09-03 07:00:00,99.20233175749301,139.95549999999992,-2.59375,163.67940214803198,132.337761881141
2019-09-03 08:00:00,205.700106226869,157.29049999999987,-2.4025,99.20233175749301,149.1408138046386
2019-09-03 09:00:00,492.2305798765761,317.94899999999996,-2.07,205.700106226869,178.35396290039256
2019-09-03 10:00:00,423.4808380196512,326.34616666666636,-2.16,492.2305798765761,170.44664434815837
2019-09-03 11:00:00,395.3659276117078,363.9643333333331,-2.66,423.4808380196512,126.51709683574641
2019-09-03 12:00:00,429.63097467138897,344.41866666666647,-1.55,395.3659276117078,224.040692313301
2019-09-03 13:00:00,451.01002112742947,305.405333333333,-1.6966666666666665,429.63097467138897,211.15469170966017
2019-09-03 14:00:00,262.2593986490992,334.7844999999997,-2.26,451.01002112742947,161.66073484567602
2019-09-03 15:00:00,535.0618887011774,395.3851666666664,-1.9049999999999998,262.2593986490992,192.8507135794885
2019-09-03 16:00:00,299.37986629708735,325.128333333333,-2.16,535.0618887011774,170.44664434815837
2019-09-03 17:00:00,305.9692984239494,282.33133333333313,-2.05,299.37986629708735,180.11114480088904
2019-09-03 18:00:00,604.4705737707884,437.81666666666655,-1.98,305.9692984239494,186.2612814526267
2019-09-03 19:00:00,476.6355905096699,313.54466666666633,-2.08,604.4705737707884,177.4753719501443
2019-09-03 20:00:00,481.46784073603516,381.81266666666653,-2.49,476.6355905096699,141.45314298996647
2019-09-03 21:00:00,514.4150013703443,459.25616666666645,-2.11,481.46784073603516,174.8395990993996
2019-09-03 22:00:00,440.83300928705387,393.78499999999997,-2.3,514.4150013703443,158.14637104468306
2019-09-03 23:00:00,445.0063163007334,552.7034999999998,-2.4,440.83300928705387,149.36046154220065
2019-09-04 00:00:00,313.65696923862146,340.1001666666664,-2.56,445.0063163007334,135.3030063382288
2019-09-04 01:00:00,405.03042806443847,176.1584999999999,-1.79,313.65696923862146,202.95450950734323
2019-09-04 02:00:00,320.2464013654833,323.0859999999997,-2.32,405.03042806443847,156.3891891441866
2019-09-04 03:00:00,369.8867900545089,244.3544999999997,-2.07,320.2464013654833,178.35396290039256
2019-09-04 04:00:00,126.0778013606223,147.21549999999985,-2.44,369.8867900545089,145.8460977412077
2019-09-04 05:00:00,240.82177946304222,144.84766666666633,-2.204,126.0778013606223,166.58084416706612
2019-09-04 06:00:00,164.20864860139585,149.95116666666655,-2.49,240.82177946304222,141.45314298996647
2019-09-04 07:00:00,62.08709381754225,5.789999999999993,-1.7833333333333334,164.20864860139585,203.54023680750876
2019-09-04 08:00:00,213.79046456040484,215.9656666666664,-2.24,62.08709381754225,163.41791674617247
2019-09-04 09:00:00,465.21390815644315,396.67866666666697,-2.3449999999999998,213.79046456040484,154.192711768566
2019-09-04 10:00:00,258.74503484810646,200.01083333333307,-1.64,465.21390815644315,216.13337376106688
2019-09-04 11:00:00,674.7578497906478,488.05599999999976,-1.72,258.74503484810646,209.10464615908094
2019-09-04 12:00:00,506.0683873429856,417.0833333333331,-1.66,674.7578497906478,214.37619186057034
2019-09-09 02:00:00,245.34652285682088,203.04216666666656,-2.13,506.0683873429856,173.08241719890313
2019-09-09 03:00:00,154.50021860115288,137.23949999999982,-2.3274999999999997,245.34652285682088,155.7302459315004
2019-09-09 04:00:00,159.68390520761744,158.74983333333302,-2.23,154.50021860115288,164.29650769642072
2019-09-09 05:00:00,61.06207104225262,21.762833333333326,-1.69,159.68390520761744,211.74041900982564
2019-09-09 06:00:00,111.58105068152648,119.85983333333367,-2.03,61.06207104225262,181.8683267013855
2019-09-09 07:00:00,142.95929890467787,141.0406666666666,-2.6500000000000004,111.58105068152648,127.39568778599464
2019-09-09 08:00:00,364.90810800310214,310.67183333333315,-2.2516666666666665,142.95929890467787,162.39289397088288
2019-09-09 09:00:00,146.43182504137326,239.92883333333333,-2.6550000000000002,364.90810800310214,126.95639231087053
2019-09-09 10:00:00,325.95724254209694,195.9409999999998,-1.83,146.43182504137326,199.44014570635028
2019-09-09 11:00:00,445.88490725098154,444.90783333333303,-1.82,325.95724254209694,200.3187366565985
2019-09-09 12:00:00,395.8052230868321,491.45816666666644,-2.89,445.88490725098154,106.30950498003692
2019-09-09 13:00:00,427.87379277089286,318.6751666666666,-1.74,395.8052230868321,207.34746425858444
2019-09-09 14:00:00,318.9285149401108,423.93883333333287,-2.13,427.87379277089286,173.08241719890313
2019-09-09 15:00:00,372.8154265553363,304.6154999999998,-2.2466666666666666,318.9285149401108,162.832189446007
2019-09-09 16:00:00,434.60965672279553,384.16449999999986,-2.25,372.8154265553363,162.53932579592424
2019-09-09 17:00:00,296.0851502336564,358.3843333333331,-2.93,434.60965672279553,102.79514117904395
2019-09-09 18:00:00,249.22696622041727,147.32233333333326,-2.43,296.0851502336564,146.72468869145592
