end_hour,bokhoven_in_flow_vol,bokhoven_flow_value,bokhoven_level_value,bokhoven_last_in_flow_vol,bokhoven_vol_remain
2019-09-01 19:00:00,1.4930201965861818,0.0,0.26,,3.739798162322667
2019-09-01 20:00:00,1.4660061506638384,3.0,-0.12,1.4930201965861818,2.0873292068777674
2019-09-01 21:00:00,2.3627406994519173,0.0,0.42333333333333334,1.4660061506638384,4.450069906329685
2019-09-03 03:00:00,0.5564382207063062,3.3333333333333335,-0.17735849056603775,2.3627406994519173,1.8378999305841976
2019-09-03 04:00:00,0.31155216935540797,0.0,-0.10571428571428572,0.5564382207063062,2.1494520999396056
2019-09-03 05:00:00,0.14461394778329556,0.0,-0.07245901639344263,0.31155216935540797,2.2940660477229016
2019-09-03 06:00:00,0.1701420437300185,0.0,-0.03333333333333333,0.14461394778329556,2.46420809145292
2019-09-03 07:00:00,1.000178578295597,0.0,0.19666666666666668,0.1701420437300185,3.464386669748517
2019-09-03 08:00:00,1.1919630994403474,0.0,0.4707692307692307,1.000178578295597,4.656349769188866
2019-09-03 09:00:00,1.92712382303945,3.0,0.20142857142857143,1.1919630994403474,3.4850943007691297
2019-09-03 10:00:00,1.3643577479021634,1.0,0.44,1.92712382303945,4.52254661490183
2019-09-03 11:00:00,2.2515421689573114,2.6666666666666665,0.27,1.3643577479021634,3.7832841874659535
2019-09-03 12:00:00,1.1374579910028355,2.333333333333333,0.02,2.2515421689573114,2.696133558883783
2019-09-03 13:00:00,1.1715646773897272,0.6666666666666666,0.06,1.1374579910028355,2.87007765945693
2019-09-03 14:00:00,1.1958656914403885,0.0,0.33499999999999996,1.1715646773897272,4.065943350897318
2019-09-03 15:00:00,0.6617549826216653,1.9999999999999998,0.25,1.1958656914403885,3.69631213717938
2019-09-03 16:00:00,0.8417743367074776,1.9999999999999998,0.008750000000000003,0.6617549826216653,2.6472117805975857
2019-09-03 17:00:00,0.7519458514360008,0.0,0.18166666666666667,0.8417743367074776,3.3991576320335866
2019-09-03 18:00:00,1.2716367958567198,0.0,0.47409090909090906,0.7519458514360008,4.670794427890307
2019-09-03 19:00:00,1.195189917933887,3.0,0.03222222222222222,1.2716367958567198,2.749283145170023
2019-09-03 20:00:00,1.7406489508743421,0.0,0.4325,1.195189917933887,4.489932096044364
2019-09-03 21:00:00,2.3011354971655913,4.0,0.09,1.7406489508743421,3.0005357348867907
2019-09-03 22:00:00,2.18672583577671,3.0,-0.02,2.3011354971655913,2.5221894583106357
2019-09-03 23:00:00,2.3523868839416107,0.3333333333333333,0.33714285714285713,2.18672583577671,4.075261784856593
2019-09-04 00:00:00,1.385888658453069,3.666666666666667,-0.125,2.3523868839416107,2.0655861943061242
2019-09-04 01:00:00,1.4195081064630055,0.0,0.20142857142857143,1.385888658453069,3.4850943007691297
2019-09-04 02:00:00,0.520451792984734,0.0,0.3211111111111111,1.4195081064630055,4.005546093753864
2019-09-04 03:00:00,0.9015085329412393,0.0,0.44833333333333336,0.520451792984734,4.558784969187902
2019-09-04 04:00:00,1.3438162657060828,3.3333333333333335,-0.14,0.9015085329412393,2.000357156591194
2019-09-04 05:00:00,2.04244040672986,0.0,0.3296774193548387,1.3438162657060828,4.042797563321052
2019-09-04 06:00:00,0.23654942948313623,0.0,0.38407407407407407,2.04244040672986,4.2793469928041885
2019-09-04 07:00:00,1.2089517638214708,3.3333333333333335,-0.16583333333333333,0.23654942948313623,1.8880182583043694
2019-09-04 08:00:00,1.199489526868994,0.0,0.11,1.2089517638214708,3.0875077851733645
2019-09-04 09:00:00,1.8155415497322227,1.3333333333333333,0.33,1.199489526868994,4.044200338325674
2019-09-04 10:00:00,2.3808598765949522,1.6666666666666665,0.3,1.8155415497322227,3.9137422628958136
2019-09-04 11:00:00,2.0764577005919462,4.0,-0.02,2.3808598765949522,2.5221894583106357
2019-09-04 12:00:00,2.571746584366785,0.0,0.2575,2.0764577005919462,3.728926656036845
2019-09-09 02:00:00,0.49580657455035404,0.0,0.01125,2.571746584366785,2.658083286883407
2019-09-09 03:00:00,0.5850586935396151,0.0,0.14578947368421052,0.49580657455035404,3.243141980423023
2019-09-09 04:00:00,0.3249613584890807,0.0,0.22051724137931034,0.5850586935396151,3.568103338912103
2019-09-09 05:00:00,0.21880468398245764,0.0,0.27083333333333337,0.3249613584890807,3.786908022894561
2019-09-09 06:00:00,0.18191653851608308,0.0,0.31266666666666665,0.21880468398245764,3.968824561410644
2019-09-09 07:00:00,0.7108820741844691,0.0,0.46249999999999997,0.18191653851608308,4.6203901714742255
2019-09-09 08:00:00,0.9380647675280662,3.666666666666667,-0.017499999999999998,0.7108820741844691,2.5330609645964577
2019-09-09 09:00:00,3.5078726948917978,3.3333333333333335,-0.020000000000000004,0.9380647675280662,2.5221894583106357
2019-09-09 10:00:00,1.7056185417311378,0.0,0.37222222222222223,3.5078726948917978,4.227808000041774
2019-09-09 11:00:00,1.576670397729864,3.5,-0.08333333333333334,1.7056185417311378,2.2467779657364857
2019-09-09 12:00:00,2.5620516480253146,0.3333333333333333,0.42666666666666664,1.576670397729864,4.464565248044114
2019-09-09 13:00:00,1.8183888489975593,3.0,0.12357142857142857,2.5620516480253146,3.146524533582111
2019-09-09 14:00:00,0.9339141590296358,0.0,0.3383333333333334,1.8183888489975593,4.080438692611747
2019-09-09 15:00:00,0.6562356818498015,0.0,0.4668421052631579,0.9339141590296358,4.639272261339073
2019-09-09 16:00:00,0.5029532881155685,3.666666666666667,-0.095,0.6562356818498015,2.1960442697359848
